user_id,sku_id
22598,64160
156136,53150
154141,71940
173776,64160
32952,111017
207428,102166
513,81515
106554,159184
114831,79122
45761,2148
195842,77745
191531,71940
159611,97007
28917,54357
215064,54357
37935,97007
161264,71940
138228,7196
215148,64160
190049,8585
148998,54357
180751,8585
70280,45173
197403,71940
154708,54357
184116,8585
22616,168434
45024,8585
32134,146353
158932,54357
103604,4732
37414,51916
156027,1286
34467,71940
181602,7975
122080,7196
32626,42988
51896,146926
186433,146926
62637,8585
134988,54357
107902,8710
172552,64160
12621,79122
68669,2148
38439,77745
204299,4732
36796,54357
28955,22140
174390,8585
68994,54357
100399,71940
15560,79122
189375,4732
22665,2148
121087,2148
58905,71940
150987,54357
134377,37427
122763,14739
104078,64160
183390,54357
156071,42988
112460,2148
120905,54357
55217,71940
64449,2148
36135,166813
175544,102166
171101,111017
25660,146926
137318,146926
207319,64160
82227,8585
22552,123111
161249,146926
169318,7196
70739,45173
137300,14739
14413,2148
197153,77745
72961,8585
181082,70593
165415,43405
3348,146926
167812,8585
206278,71940
52220,102166
23557,2148
160029,84544
163020,54357
119359,2148
190538,79122
63213,149462
60650,71940
57853,4732
188389,64160
29598,54357
184723,43405
46653,54357
226720,170699
232240,140061
70061,77745
22601,54357
35341,2148
56857,2148
135211,2148
219264,8585
182380,42838
215236,105031
133356,79080
184561,2148
83716,2148
53927,8585
3711,168043
63676,4732
177883,9159
141844,8585
194815,2148
98907,71940
54660,6156
141370,42988
168672,71940
153648,54357
36502,112550
149409,54357
142414,8585
180046,64160
23837,43405
145887,2148
173094,77745
205197,166813
12654,37427
67555,160485
2022,7196
218120,111017
230760,146926
164239,8585
200766,4732
158328,51916
497,71940
6129,2148
168692,15821
136922,79122
78341,162344
48826,71940
38663,77745
13592,71940
65129,6156
136756,37427
70336,2148
150457,77745
94600,77745
187333,54357
210768,53150
65488,2148
201250,42988
186546,54357
167796,77745
223675,89007
122999,97007
113756,54357
155448,56608
64178,71940
187671,71940
195293,8585
2279,2148
31378,162344
120665,71940
21123,71940
49311,7196
190447,4732
89379,14739
174636,56055
156545,53150
17347,54357
196755,4732
72039,77745
20109,8585
181822,71940
214250,71940
149333,102226
26978,112141
204127,2148
68016,4732
159173,79122
131373,146926
214854,37427
99776,8585
155645,54357
154893,2148
50570,71940
58796,4732
76139,97007
56204,2148
192274,81515
117193,77745
22310,45173
172920,71940
64145,135147
225761,146926
194321,149462
63186,7196
72703,42988
90275,37546
145089,2148
116313,4732
193296,154495
206180,38108
211948,8585
208877,111017
230441,2148
114765,2148
183309,2148
215622,170699
4919,42988
99231,8585
221815,2148
56441,166813
132988,102166
155699,160362
26818,105031
174782,77745
177731,2148
155887,42988
85992,77745
3429,2148
159937,71940
138373,8585
194223,8585
148992,14739
22668,33726
212385,154495
70453,54357
169754,71940
60935,42988
104008,111017
15143,54357
1983,4732
215026,71940
28752,154495
154853,42988
22603,8710
67626,2148
88896,102166
121562,64160
179101,81515
93219,112550
11453,71940
191319,71940
156990,54357
177672,43405
52334,71940
158785,8585
9263,51558
30511,84544
58090,162344
23275,162344
27277,2148
40240,4732
166588,54357
26479,37427
181408,54357
166249,2148
67350,7975
65134,146926
73803,42988
63912,4732
26026,1286
154630,71940
173542,112141
22642,1286
144623,2148
111545,4732
38093,8585
46493,2148
138883,54357
107697,4732
37455,162344
200423,81515
106487,84544
159651,8585
86517,8585
22662,45173
136911,54357
202303,28443
179026,2148
143591,54357
116924,54357
155949,2148
191468,71940
224655,71940
38866,79080
215282,102226
50026,146353
55602,8585
27027,64160
225853,2148
102234,54357
28423,97007
130122,42988
169214,8585
51527,79122
182195,37427
33647,71940
132296,2148
145279,71940
136227,37427
214078,97007
54014,112141
151565,51916
19200,107700
50157,8585
216586,104297
38566,8710
58078,71184
131499,8585
100529,107700
65562,54357
213450,77745
224441,8585
126258,51916
157841,79122
172087,170699
123148,64160
42978,22140
32717,2148
178157,3930
70605,37427
177185,64160
56989,64160
13664,54357
56568,162344
189724,8585
172154,71940
107319,45173
68093,1286
22630,9159
39916,54357
35249,117692
13893,37427
164624,8585
88156,2148
147798,77745
218149,89007
225819,146926
197476,64160
104032,4732
174189,71940
57359,42988
88943,2148
48236,8710
91462,71940
230109,90902
36164,64160
19313,54357
51048,54357
143296,8585
158031,43405
67208,32744
159403,45173
113011,81515
161167,54357
8255,8710
217269,8710
205412,79122
229923,102226
159190,84544
139593,2148
183465,8585
114452,2148
169293,162344
60519,134683
58693,97007
200010,2148
161183,71940
208061,8585
37219,2148
185708,8710
7344,79122
